Date,Open,High,Low,Close,Adj Close,Volume
2017-09-19,239.029999,240.130005,235.699997,237.850006,237.850006,2339400
2017-09-20,238.500000,240.399994,235.509995,237.960007,237.960007,2008500
2017-09-21,239.210007,239.690002,235.350006,238.919998,238.919998,2010500
2017-09-22,237.820007,242.699997,237.190002,240.570007,240.570007,1922400
2017-09-25,239.869995,239.899994,230.580002,234.490005,234.490005,3487400
2017-09-26,236.289993,240.000000,234.990005,236.190002,236.190002,2392400
2017-09-27,240.020004,240.750000,237.360001,239.820007,239.820007,2158600
2017-09-28,238.470001,242.369995,237.199997,241.279999,241.279999,1957500
2017-09-29,242.029999,248.000000,242.029999,247.690002,247.690002,3402400
2017-10-02,248.619995,250.570007,246.500000,248.669998,248.669998,2322300
2017-10-03,250.000000,250.490005,246.509995,247.000000,247.000000,2000700
2017-10-04,246.259995,247.000000,243.669998,243.970001,243.970001,1755200
2017-10-05,246.490005,247.500000,242.220001,245.270004,245.270004,2157200
2017-10-06,244.830002,247.860001,244.160004,247.690002,247.690002,1342800
2017-10-09,248.160004,254.279999,247.429993,252.220001,252.220001,2405400
2017-10-10,254.360001,262.690002,253.520004,262.410004,262.410004,4294500
2017-10-11,261.059998,263.440002,258.510010,260.320007,260.320007,2797500
2017-10-12,259.529999,261.359985,258.059998,259.329987,259.329987,2185600
2017-10-13,260.109985,264.660004,259.609985,262.679993,262.679993,2111000
2017-10-16,264.980011,273.070007,264.000000,272.820007,272.820007,3620200
2017-10-17,273.700012,274.970001,269.440002,270.320007,270.320007,3191100
2017-10-18,271.100006,271.489990,266.970001,268.970001,268.970001,2156600
2017-10-19,262.260010,265.529999,259.149994,263.850006,263.850006,2052655
